"","Block","total_land_value_2017","total_improvement_value_2017","year","parklet"
"173","0150",56889875,44229948,2017,0
"174","0151",39837683,28311197,2017,0
"175","0152",22969047,18422300,2017,0
"176","0153",23446893,17945842,2017,0
"177","0154",18411476,16442254,2017,0
"178","0155",18238967,17143477,2017,0
"179","0156",23312158,16667491,2017,0
"180","0157",28166252,22060794,2017,0
"181","0158",30597913,26518723,2017,0
"182","0159",15232018,11973798,2017,0
"183","0160",7402878,8556743,2017,0
"184","0161",22260981,29903672,2017,1
"185","0162",25490896,17460563,2017,1
"186","0162",25490896,17460563,2017,1
"187","0162",25490896,17460563,2017,1
"188","0163",28927478,43251116,2017,1
"189","0164",37594008,33847446,2017,0
"190","0165",36710226,25191263,2017,0
"191","0166",72970849,79280439,2017,0
"192","0167",69554822,61048177,2017,0
"193","0168",66392069,49846105,2017,0
"194","0171",75358207,54247998,2017,0
"195","0172",173,0,2017,0
"196","0173",33103326,33490009,2017,0
"197","0174",35456182,34725009,2017,0
"198","0175",54515969,53057453,2017,0
"199","0176",47486669,51075445,2017,1
"200","0176",47486669,51075445,2017,1
"201","0177",19048738,12571634,2017,1
"202","0177",19048738,12571634,2017,1
"203","0178",14986719,14441224,2017,1
"204","0179",11888667,11511893,2017,0
"205","0180",21975614,16038215,2017,0
"206","0181",24627865,21130534,2017,0
"207","0182",28235698,25676214,2017,0
"208","0183",21792352,16969397,2017,0
"209","0184",33134519,30485411,2017,0
"210","0185",24143426,18772245,2017,0
"211","0186",15212555,11050474,2017,0
"212","0187",19853794,17058527,2017,0
"213","0188",20212448,19444467,2017,0
"214","0189",22078528,21446998,2017,0
"215","0190",10450668,11223602,2017,0
"216","0191",21826614,20040274,2017,0
"217","0192",14298137,22990929,2017,0
"218","0193",21752689,21017566,2017,0
"219","0194",21433867,18163211,2017,1
"220","0194",21433867,18163211,2017,1
"221","0195",29753644,65010664,2017,1
"222","0195",29753644,65010664,2017,1
"223","0196",71976179,51634578,2017,0
"224","0197",0,0,2017,0
"225","0198",6593336,15632725,2017,0
"226","0199",5088110,17728704,2017,0
"227","0200",6590150,19924147,2017,0
"228","0201",40191,141520,2017,0
"229","0202",0,0,2017,0
"230","0203",0,0,2017,0
"231","0204",132757186,270824670,2017,0
"232","0206",122185387,91822916,2017,0
"233","0207",89783001,246059674,2017,0
"234","0208",214995560,248493627,2017,0
"235","0209",18544789,13391853,2017,0
"236","0210",18914501,15554160,2017,0
"237","0210A",15059471,19098031,2017,0
"238","0211",10840524,10383326,2017,0
"239","0212",18774953,14523376,2017,0
"240","0213",22870406,20163647,2017,0
"241","0214",40217906,41521786,2017,0
"242","0215",35165285,34984831,2017,0
"243","0215C",69603738,87697325,2017,0
"244","0216",27318442,19702708,2017,0
"245","0217",19595602,21171165,2017,0
"246","0218",28386464,23457788,2017,0
"247","0219",25169383,21730601,2017,0
"248","0220",59211821,46739997,2017,0
"249","0221",90879642,71043364,2017,0
"250","0222",125025865,97037583,2017,0
"251","0222A",83103954,80220448,2017,0
"252","0222C",3881819,4720002,2017,0
"253","0223",29907122,28702711,2017,0
"254","0224",45122870,40652510,2017,0
"255","0224A",7043727,7329496,2017,0
"256","0225",20690092,16548047,2017,0
"257","0226",26063086,20522993,2017,0
"258","0227",79091321,155170680,2017,0
"259","0228",138213868,102188587,2017,0
"260","0229",134005569,155939419,2017,0
"261","0230",121496087,241795367,2017,0
"262","0231",121573083,218831556,2017,0
"263","0232",121573083,220182371,2017,0
"264","0233",158045005,267460795,2017,0
"265","0234",115441037,94513652,2017,0
"266","0235",101419265,177059704,2017,0
"267","0236",120984371,245461822,2017,0
"268","0237",79364446,116736566,2017,0
"269","0238",135264883,325887386,2017,0
"270","0239",163243351,191286185,2017,0
"271","0240",222667160,281441984,2017,0
"272","0241",278689200,273266473,2017,0
"273","0242",48948837,31559866,2017,0
"274","0243",55150223,73240002,2017,0
"275","0244",56277599,151516617,2017,0
"276","0245",4330931,1267508,2017,0
"277","0246",9506776,26554765,2017,0
"278","0247",35648620,28318527,2017,0
"279","0247C",58876269,75580166,2017,0
"280","0248",35824811,31193275,2017,0
"281","0249",27147826,24053067,2017,0
"282","0250",39554887,18135769,2017,0
"283","0251",22222112,20757386,2017,0
"284","0252",35193186,29062963,2017,0
"285","0252C",25718541,30574837,2017,0
"286","0253",15986627,12541005,2017,0
"287","0253A",84316673,73152410,2017,0
"288","0253T",755200,755200,2017,0
"289","0254",80738037,58544809,2017,0
"290","0255",132736339,88490893,2017,0
"291","0256",53655465,27737980,2017,0
"292","0256T",1187599,1191075,2017,0
"293","0257",65925658,111492191,2017,0
"294","0258",51343936,96274078,2017,0
"295","0259",421856176,807590874,2017,0
"296","0260",98327040,86643363,2017,0
"297","0261",201960452,303805186,2017,0
"298","0262",157924303,274387143,2017,0
"299","0263",583572408,381974666,2017,0
"300","0264",87802782,92327998,2017,0
"301","0265",4797369,104015401,2017,0
"302","0266",66339037,142983915,2017,0
"303","0267",97780296,183843269,2017,0
"304","0268",130890238,112916687,2017,0
"305","0269",103713033,84384090,2017,0
"306","0270",23215974,29174909,2017,0
"307","0271",42808749,40663756,2017,0
"308","0272",68634530,48139772,2017,0
"309","0273",87296956,66044283,2017,0
"310","0274",33595338,28504865,2017,0
"311","0275",31947256,20453398,2017,0
"312","0275A",30671286,30061478,2017,0
"313","0275B",47141251,44292804,2017,0
"314","0276",41839962,36812813,2017,0
"315","0277",23323159,59956367,2017,0
"316","0278",27057832,19038230,2017,0
"317","0279",51329458,47125861,2017,1
"318","0280",50509639,65713658,2017,1
"319","0281",33545290,23913197,2017,1
"320","0282",79674279,84541159,2017,0
"321","0283",31736123,27079747,2017,0
"322","0284",69838029,54122217,2017,0
"323","0285",120675910,121474992,2017,0
"324","0286",27875638,29110853,2017,0
"325","0287",119478042,60102216,2017,0
"326","0288",328219675,323399651,2017,0
"327","0289",440981162,482627471,2017,0
"328","0290",86151954,57434633,2017,0
"329","0291",59369282,169115734,2017,0
"330","0292",217709263,428456150,2017,0
"331","0293",59170853,44933692,2017,0
"332","0294",168457039,230049850,2017,0
"333","0295",214212985,312732139,2017,0
"334","0296",119191195,153982773,2017,0
"335","0297",129076265,167461707,2017,0
"336","0298",41819793,30753942,2017,1
"337","0298",41819793,30753942,2017,1
"338","0298",41819793,30753942,2017,1
"339","0298",41819793,30753942,2017,1
"340","0298C",11104763,12399827,2017,0
"341","0299",25562766,30169436,2017,1
"342","0300",28359359,36783297,2017,1
"343","0301",38563736,29230057,2017,1
"344","0302",26886214,16467714,2017,1
"345","0303",47655419,33891293,2017,1
"346","0304",62343796,71450935,2017,1
"347","0305",76253832,51991329,2017,1
"348","0305",76253832,51991329,2017,1
"349","0306",94216813,89563279,2017,0
"350","0307",529427370,365533436,2017,1
"351","0308",0,0,2017,1
"352","0309",215885210,255687159,2017,0
"353","0310",107337127,118220621,2017,0
"354","0311",177602365,213994195,2017,0
"355","0312",34952450,68543873,2017,0
"356","0313",184386053,282809248,2017,0
"357","0314",249836228,320950777,2017,1
"358","0315",76470811,57160725,2017,1
"359","0315",76470811,57160725,2017,1
"360","0316",59136826,63333718,2017,1
"361","0317",76589915,86030502,2017,1
"362","0317",76589915,86030502,2017,1
"363","0318",41884277,40864626,2017,1
"364","0319",43819444,34543838,2017,1
"365","0320",33554719,24102414,2017,1
"366","0321",46624686,29996466,2017,0
"367","0322",25475266,22632077,2017,1
"368","0322A",29799411,30973754,2017,0
"369","0323",31800750,28484569,2017,1
"370","0324",61620938,73692966,2017,1
"371","0325",226354978,163493360,2017,1
"372","0326",49915643,92921853,2017,1
"373","0326",49915643,92921853,2017,1
"374","0327",195989711,193988420,2017,1
"375","0328",137922162,240189626,2017,0
"376","0329",60598968,54174634,2017,1
"377","0330",430379412,363657275,2017,1
"378","0330",430379412,363657275,2017,1
"379","0331",36922399,23319741,2017,0
"380","0332",11306816,34516622,2017,0
"381","0333",21973307,22104731,2017,0
"382","0334",18618393,25504138,2017,0
"383","0335",22739397,16714794,2017,0
"384","0336",27167751,20624268,2017,0
"385","0337",26026451,32122062,2017,0
"386","0338",22915665,77001885,2017,0
"387","0339",29906243,47308416,2017,0
"388","0340",24154461,21606273,2017,0
"389","0341",24917933,27800166,2017,0
"390","0342",43065788,11081801,2017,0
"391","0343",43800472,22741596,2017,0
"392","0344",41907994,43257390,2017,0
"393","0345",33803132,42359966,2017,0
"394","0346",37607152,39525647,2017,0
"395","0347",8390921,7238606,2017,0
"396","0348",8028153,9404132,2017,0
"397","0349",25173752,45236620,2017,0
"398","0350",16253502,10558667,2017,0
"399","0351",50497260,47662089,2017,0
"400","0353",0,0,2017,0
"401","0354",0,0,2017,0
"402","0355",13191315,11388321,2017,0
"403","0405",0,0,2017,0
"404","0409",0,0,2017,0
"405","0410",0,0,2017,0
"406","0410A",0,0,2017,0
"407","0417A",40168248,21946013,2017,0
"408","0417B",12911937,12802720,2017,0
"409","0418A",31270317,23798755,2017,0
"410","0419A",33934678,27043466,2017,0
"411","0436B",19137225,17601210,2017,0
"412","0436C",35266448,27910678,2017,0
"413","0436D",26961198,26782964,2017,0
"414","0436E",42089621,32615448,2017,0
"415","0436F",35819084,37592520,2017,0
"416","0438A",30742696,31955224,2017,0
"417","0439A",65280460,51538733,2017,0
"418","0440A",15636517,14052410,2017,0
"419","0440B",10705136,9396860,2017,0
"420","0441A",30070264,20015244,2017,0
"421","0441B",25403872,18485864,2017,0
"422","0442A",30345280,26394498,2017,0
"423","0443A",35729902,31038969,2017,0
"424","0445A",39924426,36919974,2017,0
"425","0446",19010446,2077687,2017,0
"426","0451",84102996,87764359,2017,0
"427","0452",33588601,18484292,2017,0
"428","0452T",50732440,50696730,2017,0
"429","0453",34700402,25888267,2017,0
"430","0454",0,0,2017,0
"431","0459",24780828,26722513,2017,0
"432","0460A",34061127,31486845,2017,0
"433","0462A",30074850,29307191,2017,0
"434","0463A",25999234,24718068,2017,0
"435","0464A",17651423,12410856,2017,0
"436","0465A",27729999,23833882,2017,0
"437","0466A",30325450,27687288,2017,0
"438","0467A",39273854,37214837,2017,0
"439","0468A",0,0,2017,0
"440","0469",0,0,2017,0
"441","0471",18738310,18573285,2017,0
"442","0472",44595277,34078575,2017,0
"443","0473",30806699,26387248,2017,0
"444","0474",25548333,26070609,2017,0
"445","0475",0,0,2017,0
"446","0476",34702553,25345933,2017,0
"447","0477",76942817,47590414,2017,0
"448","0478",27714926,24844484,2017,0
"449","0479",27673348,22680324,2017,0
"450","0480",27520030,25041955,2017,0
"451","0481",29857125,23148050,2017,0
"452","0482",30278235,27590504,2017,0
"453","0486A",23116968,23114305,2017,0
"454","0488A",38212207,27914952,2017,0
"455","0489",23828923,17954820,2017,0
