"","Block","total_land_value_2017","total_improvement_value_2017","year","parklet"
"1285","1334",39472676,23860685,2017,0
"1286","1335",12488836,8498945,2017,0
"1287","1336",33422941,22718130,2017,0
"1288","1337",26094335,15514461,2017,0
"1289","1338",19110830,14184462,2017,0
"1290","1339",13188692,11325565,2017,0
"1291","1340",9734654,8370603,2017,0
"1292","1341",17308684,10799158,2017,0
"1293","1342",16030090,12450586,2017,0
"1294","1343",15185662,9588840,2017,0
"1295","1344",15511849,13539080,2017,0
"1296","1345",0,0,2017,0
"1297","1346",7510054,5268513,2017,0
"1298","1347",5292995,4511596,2017,0
"1299","1348",5542829,4466762,2017,0
"1300","1349",7566101,6254263,2017,0
"1301","1350",6575192,4506784,2017,0
"1302","1351",19508882,16478961,2017,0
"1303","1352",38751743,35213697,2017,0
"1304","1353",42615481,30515710,2017,0
"1305","1354",19443154,40613745,2017,0
"1306","1355",103362226,89853038,2017,0
"1307","1361",34806871,29870406,2017,0
"1308","1362",32036229,23819210,2017,0
"1309","1363",25347330,20110274,2017,0
"1310","1364",29800065,24468973,2017,0
"1311","1365",23969432,17418961,2017,0
"1312","1366",23241790,18931532,2017,0
"1313","1367",38396265,27306486,2017,0
"1314","1368",28760048,21644228,2017,0
"1315","1369",20883563,17431677,2017,0
"1316","1370",27967729,21051113,2017,0
"1317","1371",30466103,22229940,2017,0
"1318","1372",27467500,26163292,2017,0
"1319","1373",0,0,2017,0
"1320","1374",37189144,22469735,2017,0
"1321","1375",34795216,22893252,2017,0
"1322","1376",24720480,21150492,2017,0
"1323","1377",23505227,19985750,2017,0
"1324","1378",13053449,12898249,2017,0
"1325","1379",23105654,22282040,2017,0
"1326","1380",28726768,19347531,2017,0
"1327","1381",23639149,19380688,2017,0
"1328","1382",27920462,20820664,2017,0
"1329","1383",26951058,22614898,2017,0
"1330","1384",17361979,12451240,2017,0
"1331","1385",27099335,22821458,2017,0
"1332","1386",29731194,27033051,2017,0
"1333","1387",30726950,22786508,2017,0
"1334","1388",22755249,16420629,2017,0
"1335","1389",24680836,17710707,2017,0
"1336","1390",13755125,9127315,2017,0
"1337","1391",21220625,14379344,2017,0
"1338","1392",17801766,16754915,2017,0
"1339","1401",24493290,15296629,2017,0
"1340","1402",24042690,16543629,2017,0
"1341","1403",14613591,13423338,2017,0
"1342","1404",21267714,15138608,2017,0
"1343","1405",21025864,15968221,2017,0
"1344","1406",18893819,19104630,2017,0
"1345","1407",25896478,18482889,2017,0
"1346","1408",22549129,21049451,2017,0
"1347","1409",24183196,21184539,2017,0
"1348","1410",28992064,20323651,2017,0
"1349","1411",12251946,9380365,2017,0
"1350","1412",22800452,18439273,2017,0
"1351","1413",23288532,17647240,2017,0
"1352","1414",25401266,16030154,2017,0
"1353","1415",19002695,16087485,2017,0
"1354","1416",21901835,15798073,2017,0
"1355","1417",22764562,18086887,2017,0
"1356","1418",23288648,16011138,2017,0
"1357","1419",26622846,20128057,2017,0
"1358","1420",0,0,2017,0
"1359","1421",16091143,13979694,2017,0
"1360","1422",20338068,18508548,2017,0
"1361","1423",23943114,15410125,2017,0
"1362","1424",19009353,13681676,2017,0
"1363","1425",22339106,15662757,2017,0
"1364","1426",23208202,17967127,2017,0
"1365","1427",14852347,10829634,2017,0
"1366","1428",25510225,20745547,2017,0
"1367","1429",30962146,17470196,2017,1
"1368","1430",23473246,16321280,2017,1
"1369","1431",25190190,17469907,2017,1
"1370","1432",23630348,21312214,2017,1
"1371","1433",33032203,27791256,2017,1
"1372","1434",29769205,19695291,2017,1
"1373","1435",19935899,15832704,2017,1
"1374","1436",18619617,17480252,2017,1
"1375","1437",20661123,16060355,2017,0
"1376","1438",20567201,6725926,2017,0
"1377","1439",21564284,18855938,2017,0
"1378","1440",11489446,22380552,2017,0
"1379","1441",10661041,8734891,2017,0
"1380","1442",15929940,15199351,2017,0
"1381","1443",23787893,14973861,2017,0
"1382","1444",24328317,18203582,2017,0
"1383","1445",0,0,2017,0
"1384","1446",22832578,22368938,2017,0
"1385","1447",19461061,14760937,2017,0
"1386","1448",27426152,15845575,2017,0
"1387","1449",26379540,19928885,2017,0
"1388","1450",26327695,18946653,2017,0
"1389","1451",21914452,18344827,2017,0
"1390","1452",19373578,15942434,2017,0
"1391","1453",20987737,16905466,2017,0
"1392","1454",18282214,15141395,2017,0
"1393","1455",8169620,8793138,2017,0
"1394","1456",21253997,17848051,2017,0
"1395","1457",28122542,22974009,2017,0
"1396","1458",24194466,25050103,2017,0
"1397","1459",17419365,15727313,2017,0
"1398","1460",22908896,17419368,2017,0
"1399","1461",0,0,2017,0
"1400","1462",19983966,19367637,2017,0
"1401","1463",19494889,14630164,2017,0
"1402","1464",20467596,18457773,2017,0
"1403","1465",28316601,24709626,2017,0
"1404","1466",21336974,18927195,2017,0
"1405","1467",19432069,14889034,2017,0
"1406","1468",24407597,14276603,2017,0
"1407","1469",9909333,6999336,2017,0
"1408","1469A",9104566,7167064,2017,0
"1409","1470",14519520,10998234,2017,0
"1410","1471",13999961,9589978,2017,0
"1411","1472",17987456,11553683,2017,0
"1412","1473",14465030,10633103,2017,0
"1413","1474",13827564,10120807,2017,0
"1414","1475",12101653,10632558,2017,0
"1415","1476",11607531,9608378,2017,0
"1416","1481",14429572,9977849,2017,0
"1417","1482",12796763,8152987,2017,0
"1418","1483",14511551,9422024,2017,0
"1419","1484",0,0,2017,0
"1420","1488",7400400,4606833,2017,0
"1421","1489",4450802,3314243,2017,0
"1422","1490",3547254,2467627,2017,0
"1423","1491",6013892,3192840,2017,0
"1424","1492",6730087,4046111,2017,0
"1425","1493",1592035,3252952,2017,0
"1426","1494",0,0,2017,0
"1427","1497",16663966,12039417,2017,0
"1428","1498",17517688,11542097,2017,0
"1429","1499",19284016,12694928,2017,0
"1430","1500",16499481,11550304,2017,0
"1431","1501",15770413,11069357,2017,0
"1432","1502",15780092,10985528,2017,0
"1433","1503",21341680,19358398,2017,0
"1434","1504",17146046,13592916,2017,0
"1435","1505",19181902,13670653,2017,0
"1436","1506",14301341,10014956,2017,0
"1437","1507",22621921,17579898,2017,0
"1438","1508",14095642,13286399,2017,0
"1439","1509",20110206,16672583,2017,0
"1440","1510",21849984,15180548,2017,0
"1441","1511",25982420,24218887,2017,0
"1442","1512",17930490,10602176,2017,0
"1443","1515",20978637,17310926,2017,0
"1444","1516",18917673,14794039,2017,0
"1445","1517",25639225,20087902,2017,0
"1446","1518",20565759,18343241,2017,0
"1447","1519",21782897,19500810,2017,0
"1448","1520",18659940,13898413,2017,0
"1449","1521",17477304,15134418,2017,0
"1450","1522",20285313,16403194,2017,0
"1451","1523",15966643,14886582,2017,0
"1452","1524",25710529,17224394,2017,0
"1453","1525",18398099,15970225,2017,0
"1454","1526",10726130,8922611,2017,0
"1455","1527",19230493,13783614,2017,0
"1456","1528",22682284,15181485,2017,0
"1457","1529",21467065,16745405,2017,0
"1458","1530",22795798,17656794,2017,0
"1459","1531",0,0,2017,0
"1460","1532",22158286,16046280,2017,0
"1461","1533",21203618,17384772,2017,0
"1462","1534",24056692,17270681,2017,0
"1463","1535",12034992,10226692,2017,0
"1464","1536",19256983,15037222,2017,0
"1465","1537",29488701,25035223,2017,0
"1466","1538",13284214,12159090,2017,0
"1467","1539",4014612,20214073,2017,0
"1468","1540",18710441,15893870,2017,0
"1469","1541",19762728,13910128,2017,0
"1470","1542",15272663,11421313,2017,0
"1471","1543",25777868,21822318,2017,0
"1472","1544",23419029,18144774,2017,0
"1473","1545",21558040,12975914,2017,0
"1474","1546",18209464,15275439,2017,0
"1475","1547",17149809,14539961,2017,1
"1476","1548",25477291,14925964,2017,1
"1477","1549",20370777,17612800,2017,1
"1478","1550",23795430,18509857,2017,1
"1479","1551",24869778,15071097,2017,0
"1480","1552",23968042,15429270,2017,0
"1481","1553",26368320,16834708,2017,0
"1482","1554",19528398,13730707,2017,0
"1483","1555",32290314,21887308,2017,0
"1484","1556",0,0,2017,0
"1485","1557",21266051,17385955,2017,0
"1486","1558",23025551,15134317,2017,0
"1487","1559",15440219,11658927,2017,0
"1488","1560",17518210,12720065,2017,0
"1489","1561",23413295,16633960,2017,0
"1490","1562",21454722,15254665,2017,0
"1491","1563",15363587,14121036,2017,0
"1492","1564",21230202,15410995,2017,0
"1493","1565",19292680,13822093,2017,0
"1494","1566",20165516,15397792,2017,0
"1495","1567",18390345,14425366,2017,0
"1496","1568",19799174,13981676,2017,0
"1497","1569",15657886,11862378,2017,0
"1498","1570",15319841,11951624,2017,0
"1499","1571",16788145,12713411,2017,0
"1500","1572",17903231,12723813,2017,0
"1501","1574",1787380,1367665,2017,0
"1502","1575",17310750,12971319,2017,0
"1503","1576",21390256,14799521,2017,1
"1504","1577",17443151,12486221,2017,1
"1505","1578",16395764,12468010,2017,1
"1506","1579",11002171,10613319,2017,1
"1507","1580",13717997,11274525,2017,1
"1508","1581",17162359,11774675,2017,0
"1509","1582",14502641,9784632,2017,0
"1510","1583",13504532,10886071,2017,0
"1511","1584",17218449,12271631,2017,0
"1512","1585",19129665,10880345,2017,0
"1513","1586",17141771,11536146,2017,0
"1514","1587",18975181,11116018,2017,0
"1515","1588",19418452,12367894,2017,0
"1516","1589",9132232,6494405,2017,0
"1517","1590",8181510,6301083,2017,0
"1518","1591",5027039,3577320,2017,0
"1519","1592",0,0,2017,0
"1520","1593",11693279,9752553,2017,0
"1521","1594",7032489,5098560,2017,0
"1522","1595",40852175,41024745,2017,0
"1523","1596",15525694,20313428,2017,0
"1524","1597",19071342,12658406,2017,0
"1525","1598",17775399,10953092,2017,0
"1526","1599",19217012,13541454,2017,0
"1527","1600",14772530,9214588,2017,0
"1528","1601",16626711,10489954,2017,0
"1529","1602",17406756,11556019,2017,0
"1530","1603",15853184,9273817,2017,0
"1531","1604",15363639,10303852,2017,0
"1532","1605",10219580,7823224,2017,0
"1533","1606",13454809,10312450,2017,0
"1534","1607",17930700,11809229,2017,1
"1535","1608",17990379,16594092,2017,1
"1536","1609",20724332,13846819,2017,1
"1537","1610",16940663,11875792,2017,1
"1538","1611",19202299,12680735,2017,1
"1539","1612",18714905,12051903,2017,0
"1540","1613",18865111,13466365,2017,0
"1541","1614",11526264,7656678,2017,0
"1542","1615",18475461,13308990,2017,0
"1543","1616",15232460,11245176,2017,0
"1544","1617",13904245,10907286,2017,0
"1545","1618",19696357,13291709,2017,0
"1546","1619",19740913,13958877,2017,0
"1547","1620",7868973,6117993,2017,0
"1548","1621",18953255,12740230,2017,0
"1549","1622",20207309,14868808,2017,0
"1550","1623",17635915,12740121,2017,0
"1551","1624",18200721,12005846,2017,0
"1552","1625",20880911,14064606,2017,0
"1553","1626",14804856,10747842,2017,0
"1554","1627",8165661,6656129,2017,0
"1555","1628",15386771,10655879,2017,0
"1556","1629",24668973,17695267,2017,0
"1557","1630",19574499,16983245,2017,0
"1558","1631",0,0,2017,0
"1559","1632",23608051,19115026,2017,0
"1560","1633",23524948,15059112,2017,0
"1561","1634",18820099,14226152,2017,0
"1562","1635",19428597,14736482,2017,0
"1563","1636",21285021,17061035,2017,0
"1564","1637",25564392,15607001,2017,1
"1565","1638",12027376,8795778,2017,1
"1566","1639",20515706,15956354,2017,1
"1567","1640",24557847,17027638,2017,1
"1568","1641",21751559,16320640,2017,0
"1569","1642",20664942,15238547,2017,0
"1570","1643",24761825,18179465,2017,0
"1571","1644",20085745,15728690,2017,0
"1572","1645",17683175,11764534,2017,0
"1573","1646",16919830,10779575,2017,0
"1574","1647",16116162,10810990,2017,0
"1575","1648",20657897,18581218,2017,0
"1576","1649",23883885,19658542,2017,0
"1577","1650",20300742,18107016,2017,0
"1578","1651",25610049,21074317,2017,0
"1579","1652",23933307,16624181,2017,0
"1580","1653",28107665,17914940,2017,0
"1581","1654",24479899,21072474,2017,0
"1582","1655",20940396,14763047,2017,0
"1583","1656",0,0,2017,0
"1584","1657",29584894,22098787,2017,0
"1585","1658",15253866,11420360,2017,0
"1586","1659",16329137,11279457,2017,0
"1587","1660",17781569,14084802,2017,0
"1588","1661",14713971,13248863,2017,0
"1589","1662",20716842,16293857,2017,0
"1590","1663",18408717,14241435,2017,0
"1591","1664",14916780,12289950,2017,0
"1592","1665",17060937,11513347,2017,0
"1593","1666",14304427,10909077,2017,0
"1594","1667",19802051,13382963,2017,0
"1595","1668",24799862,26084158,2017,0
"1596","1669",20195051,13804267,2017,0
"1597","1670",15646988,11703462,2017,0
"1598","1671",18655848,12823168,2017,0
"1599","1672",18700530,13009467,2017,0
"1600","1673",16231938,14043235,2017,0
"1601","1674",20101487,14815607,2017,0
"1602","1675",15988035,10618925,2017,0
"1603","1676",11574200,8452360,2017,0
"1604","1677",17985826,13334948,2017,0
"1605","1678",16962448,11021575,2017,0
"1606","1679",14242721,10477938,2017,0
"1607","1680",18844900,12748015,2017,0
"1608","1681",11971637,7886377,2017,0
"1609","1682",17094471,10786214,2017,0
"1610","1683",18542792,10966001,2017,0
"1611","1684",16625221,10587937,2017,0
"1612","1685",17485744,10736282,2017,0
"1613","1686",18237723,12084724,2017,0
"1614","1687",16083872,10708636,2017,0
"1615","1688",18046512,13125824,2017,0
"1616","1689",20289478,12918025,2017,0
"1617","1690",18204013,13123529,2017,0
"1618","1691",17112431,7333897,2017,0
"1619","1692",34697538,34009099,2017,0
"1620","1700",0,0,2017,0
"1621","1701",6855076,4974771,2017,0
"1622","1702",19708292,14473847,2017,0
"1623","1703",16155383,13051628,2017,0
"1624","1704",16274980,12878685,2017,0
"1625","1705",17239790,12217800,2017,0
"1626","1706",18514871,13414877,2017,0
"1627","1707",12940269,9923560,2017,0
"1628","1708",13932637,8798336,2017,0
"1629","1709",16138594,12948799,2017,0
"1630","1710",13069225,10556403,2017,0
"1631","1711",11981773,9269497,2017,0
"1632","1712",15590829,11601222,2017,0
"1633","1713",18341966,11987995,2017,0
"1634","1714",0,0,2017,0
"1635","1715",15213310,10190097,2017,0
"1636","1716",15035733,11336367,2017,0
"1637","1717",19770969,12616332,2017,0
"1638","1718",13939364,9359803,2017,0
"1639","1719",12585081,9808617,2017,0
"1640","1720",12451377,9609945,2017,0
"1641","1721",14295702,8889206,2017,0
"1642","1722",16630952,11318203,2017,0
"1643","1723",16614614,11236257,2017,0
"1644","1724",14035639,8160256,2017,0
"1645","1725",14237440,9536601,2017,0
"1646","1726",18526915,16555753,2017,0
"1647","1727",18357083,12220873,2017,0
"1648","1728",17472701,14506820,2017,0
"1649","1729",15592158,14152385,2017,0
"1650","1730",21503289,18658337,2017,0
"1651","1731",17528994,15336223,2017,0
"1652","1732",15437452,14897844,2017,0
"1653","1733",21083850,22060910,2017,0
"1654","1734",22684395,19730642,2017,0
"1655","1735",20353827,14949014,2017,0
"1656","1736",21248952,18384202,2017,0
"1657","1737",21405829,16455793,2017,0
"1658","1738",18521087,14887638,2017,0
"1659","1739",20309354,18740450,2017,0
"1660","1740",14876973,12580578,2017,0
"1661","1741",17625085,16723963,2017,0
"1662","1742",18905112,27857514,2017,0
"1663","1743",19015727,14680340,2017,0
"1664","1744",16332308,12987434,2017,0
"1665","1745",11609333,8467885,2017,0
"1666","1746",9999171,7607057,2017,0
"1667","1747",6247614,5891610,2017,0
"1668","1748",7062969,7122291,2017,0
"1669","1749",17508571,12994510,2017,0
"1670","1750",11435160,9482531,2017,0
"1671","1751",12498540,9011774,2017,0
"1672","1752",7923988,7487415,2017,0
"1673","1753",6181881,6628871,2017,0
"1674","1754",10100257,7459927,2017,0
"1675","1755",11797690,8381284,2017,0
"1676","1756",0,0,2017,0
"1677","1757",0,0,2017,0
"1678","1758",18719516,14669498,2017,0
"1679","1759",19311261,15016316,2017,0
"1680","1760",24730171,19509898,2017,0
"1681","1761",22725029,17468805,2017,0
"1682","1762",21254375,17550114,2017,0
"1683","1763",25852503,21763557,2017,0
"1684","1764",20726526,17684849,2017,0
"1685","1765",21255456,18039895,2017,0
"1686","1766",17431408,14539220,2017,0
"1687","1767",20575398,14167604,2017,0
"1688","1768",1890173,5956522,2017,0
"1689","1769",19571888,11324586,2017,0
"1690","1770",16219986,12781533,2017,0
"1691","1771",22380938,18568197,2017,0
"1692","1771C",1244093,1261537,2017,0
"1693","1772",18395895,14933930,2017,0
"1694","1773",7059003,6214783,2017,0
"1695","1774",17677214,12254942,2017,0
"1696","1775",15456082,15231748,2017,0
"1697","1776",14779466,10472113,2017,0
"1698","1777",16667971,11403534,2017,0
"1699","1778",19074126,15042297,2017,0
"1700","1779",11390538,9970289,2017,0
"1701","1780",21854205,16223464,2017,0
"1702","1781",17350554,13355194,2017,0
"1703","1782",13973899,11027575,2017,0
"1704","1783",17811662,12809174,2017,0
"1705","1784",16297111,11707560,2017,0
"1706","1785",14402819,10625344,2017,0
"1707","1786",17420631,12328530,2017,0
"1708","1787",13731169,9872082,2017,0
"1709","1788",15704352,12212318,2017,0
"1710","1789",17041247,10481062,2017,0
"1711","1790",13907695,10931089,2017,0
"1712","1791",0,0,2017,0
"1713","1792",16084354,11158542,2017,0
"1714","1793",14790481,11047909,2017,0
"1715","1794",12576554,9225418,2017,0
"1716","1795",14663969,11040113,2017,0
"1717","1796",17954395,12344893,2017,0
"1718","1797",9478170,7259293,2017,0
"1719","1798",12934285,8830981,2017,1
"1720","1799",16034090,10120304,2017,1
"1721","1800",17500539,11604969,2017,1
"1722","1801",18605683,14510828,2017,1
"1723","1802",14838010,12894288,2017,0
"1724","1803",15727177,11425650,2017,0
"1725","1804",282269,615127,2017,0
"1726","1805",18669099,14883162,2017,0
"1727","1806",16145797,11454391,2017,0
"1728","1807",16055961,10428104,2017,1
"1729","1808",16898371,10155249,2017,1
"1730","1809",13891813,8809578,2017,1
"1731","1810",16054391,9561950,2017,1
"1732","1811",13715231,8930692,2017,0
"1733","1812",15974739,10247580,2017,0
"1734","1813",11127620,7587681,2017,0
"1735","1814",12893462,8551444,2017,0
"1736","1815",12857000,9850434,2017,0
"1737","1816",18480585,12552736,2017,0
"1738","1817",0,0,2017,0
"1739","1818",17640342,11867868,2017,0
"1740","1819",17772903,12384692,2017,0
"1741","1820",16381854,12251769,2017,0
"1742","1821",15303358,10031925,2017,0
"1743","1822",18382379,13659084,2017,0
"1744","1823",19481706,17144633,2017,0
"1745","1824",15050611,11775780,2017,0
"1746","1825",18248425,12303214,2017,0
"1747","1826",19900112,12958040,2017,0
"1748","1827",21503966,13766680,2017,0
"1749","1828",16835472,11862391,2017,0
"1750","1829",16849191,12169161,2017,0
"1751","1830",16040156,11567375,2017,0
"1752","1831",16200465,12980594,2017,0
"1753","1832",11907719,8782851,2017,0
"1754","1833",15155415,12701294,2017,0
"1755","1834",18034618,12134628,2017,0
"1756","1835",11323478,10102370,2017,0
"1757","1836",21449497,17526526,2017,0
"1758","1837",17408108,14748727,2017,0
"1759","1838",12947637,8753449,2017,0
"1760","1839",20912154,13436635,2017,0
"1761","1840",17260208,11479914,2017,0
"1762","1841",20593470,13994076,2017,0
"1763","1842",19652327,14445103,2017,0
"1764","1843",22950223,19080982,2017,0
"1765","1844",16321009,15074269,2017,0
"1766","1845",17806112,14867531,2017,0
"1767","1846",18684878,14938175,2017,0
"1768","1847",22029512,14875240,2017,0
"1769","1848",23562007,18058806,2017,0
"1770","1849",0,0,2017,0
"1771","1850",0,0,2017,0
"1772","1851",3402944,2466684,2017,0
"1773","1852",10742999,7145516,2017,0
"1774","1853",15904179,12002163,2017,0
"1775","1854",22917053,18965981,2017,0
"1776","1855",16280143,14232040,2017,0
"1777","1856",17218973,12847843,2017,0
"1778","1857",21843906,16230520,2017,0
"1779","1858",11802763,9204615,2017,0
"1780","1859A",5744363,4039453,2017,0
"1781","1860A",8923039,9158145,2017,0
"1782","1860B",6977205,10236903,2017,0
"1783","1861A",5094384,3812426,2017,0
"1784","1861B",12479013,9588946,2017,0
"1785","1862A",16723447,12310755,2017,0
"1786","1863",14262649,10638187,2017,0
"1787","1864",15825047,10028450,2017,0
"1788","1865",6853108,7530401,2017,0
"1789","1866",14711146,10927957,2017,0
"1790","1867",14068801,9952660,2017,0
"1791","1868",14376437,10342937,2017,0
"1792","1869",15374957,10645797,2017,0
"1793","1870",17508800,12096159,2017,0
"1794","1871",18558830,11784485,2017,0
"1795","1872",14392682,10517849,2017,0
"1796","1873",14303946,11101106,2017,0
"1797","1874",12504683,9846591,2017,0
"1798","1875",15369841,9495313,2017,0
"1799","1876",5568665,3574409,2017,0
"1800","1877",15870700,10588073,2017,0
"1801","1878",14435740,10651268,2017,0
"1802","1879",17367743,11928695,2017,0
"1803","1880",17029926,11719334,2017,0
"1804","1881",14872660,10697194,2017,0
"1805","1882",0,0,2017,0
"1806","1883",14340768,10830400,2017,0
"1807","1884",11668216,8084503,2017,0
"1808","1885",7405346,12327368,2017,0
"1809","1886",14375818,9009623,2017,0
"1810","1887",14694318,10030898,2017,0
"1811","1888",5956178,8663765,2017,0
"1812","1889",14787384,9455223,2017,0
"1813","1890",16532940,9761795,2017,0
"1814","1891",16593522,9602812,2017,0
"1815","1892",13996639,8379556,2017,0
"1816","1893",15692580,10845780,2017,0
"1817","1894",18069749,17711918,2017,0
"1818","1895",18210760,14665164,2017,0
"1819","1896",16689222,10432992,2017,0
"1820","1897",15722958,9386257,2017,0
"1821","1898",11229043,8696158,2017,0
"1822","1899",14186407,8600080,2017,0
"1823","1900",13220252,8902424,2017,0
"1824","1901",12342092,8404366,2017,0
"1825","1902",15350178,9542752,2017,0
"1826","1903",18131976,10979028,2017,0
"1827","1904",14973301,8794670,2017,0
"1828","1905",17597494,10167697,2017,0
"1829","1906",13394161,8683365,2017,0
"1830","1907",0,0,2017,0
"1831","1908",13490933,9511187,2017,0
"1832","1909",17410291,11824668,2017,0
"1833","1910",15071243,10056671,2017,0
"1834","1911",17369483,11514563,2017,0
"1835","1912",14142051,10022897,2017,0
"1836","1913",16201007,10935682,2017,0
"1837","1914",18571152,11538266,2017,0
"1838","1915",0,0,2017,0
"1839","1916",14107185,9188072,2017,0
"1840","1917",14516323,9705237,2017,0
"1841","1918",13831972,11207950,2017,0
"1842","1919",10955567,8395614,2017,0
"1843","1920",13830579,9422555,2017,0
"1844","1921",12867729,10132188,2017,0
"1845","1922",16782286,10530847,2017,0
"1846","1923",15264723,10572294,2017,0
"1847","1924",49148848,56983221,2017,0
"1848","1925",14931641,11146692,2017,0
"1849","1926",14706132,10310317,2017,0
"1850","1927A",13448809,8853781,2017,0
"1851","1928",7462935,7755728,2017,0
"1852","1928B",11014543,9876371,2017,0
"1853","1929A",16466750,12476052,2017,0
"1854","1930A",9702479,7231464,2017,0
"1855","1931",18939492,15577131,2017,0
"1856","1932",19328399,16261164,2017,0
"1857","1933",21661661,17023525,2017,0
"1858","1934",19040900,16275714,2017,0
"1859","1935",18216703,10971133,2017,0
"1860","1936",15111262,10464685,2017,0
"1861","1937",0,0,2017,0
"1862","1939",0,0,2017,0
"1863","2001",17453527,11786359,2017,0
"1864","2002",16179569,10343944,2017,1
"1865","2003",14410423,9197149,2017,1
"1866","2004",12642337,9829367,2017,1
"1867","2005",7593946,4981185,2017,1
"1868","2006",16528232,10478242,2017,0
"1869","2007",14462076,9602379,2017,0
"1870","2008",11334333,8610558,2017,0
"1871","2009",14171925,9535565,2017,0
"1872","2010",15029556,9194833,2017,0
"1873","2011",14765579,15100375,2017,0
"1874","2012",11015919,13492326,2017,0
"1875","2013",0,0,2017,0
"1876","2014",14759801,10924075,2017,0
"1877","2015",16072455,10803423,2017,0
"1878","2016",16636822,11307475,2017,0
"1879","2017",15523754,11911359,2017,0
"1880","2018",13547414,13167186,2017,0
"1881","2019",14633313,10410792,2017,0
"1882","2020",16280031,11636797,2017,0
"1883","2021",12457072,9443643,2017,0
"1884","2022",15238150,12901559,2017,0
"1885","2023",15469824,10135551,2017,0
"1886","2024",16001573,11382300,2017,0
"1887","2025",17562146,9733113,2017,0
"1888","2026",18829083,11932753,2017,0
"1889","2027",22101362,15219173,2017,0
"1890","2028",18739881,13937682,2017,0
"1891","2029",13839515,10203486,2017,0
"1892","2030",6422425,3957406,2017,0
"1893","2031",13921996,11745529,2017,0
"1894","2032",17282087,12556457,2017,0
"1895","2033A",16411237,11614285,2017,0
"1896","2034A",5962291,4273336,2017,0
"1897","2035A",16048157,9094827,2017,0
"1898","2036A",9408843,6731739,2017,0
"1899","2036B",17514163,11882909,2017,0
"1900","2037A",11284679,7986801,2017,0
"1901","2038A",18565214,13288526,2017,0
"1902","2039",19141272,13648492,2017,0
"1903","2040",26476616,18839665,2017,0
"1904","2041",24215553,20327677,2017,0
"1905","2042",18192655,13074451,2017,0
"1906","2043",59587,0,2017,0
"1907","2044",4851101,5004277,2017,0
"1908","2045",17173457,12379498,2017,0
"1909","2046",14259977,11376946,2017,0
"1910","2047",17423185,13344248,2017,0
"1911","2048",19510546,12404511,2017,0
"1912","2049A",16125933,10952581,2017,0
"1913","2049B",9029105,6326572,2017,0
"1914","2050A",10263152,6512625,2017,0
"1915","2051A",13228663,9119653,2017,0
"1916","2052A",22651804,15650054,2017,0
"1917","2053",11674181,9181289,2017,0
"1918","2054",14926911,11288812,2017,0
"1919","2055",12497272,10189632,2017,0
"1920","2056",20468712,11021421,2017,0
"1921","2057",13329022,9735339,2017,0
"1922","2058",16808093,14639597,2017,0
"1923","2059",16867177,12387727,2017,0
"1924","2060",18310849,13645628,2017,0
"1925","2061",16291261,12027640,2017,0
"1926","2062",15361986,10810495,2017,0
"1927","2063",19375858,13251397,2017,0
"1928","2064",17505885,10657803,2017,0
"1929","2065",14208130,9480455,2017,0
"1930","2066",12146714,9586825,2017,0
"1931","2067",19211314,13038387,2017,0
"1932","2068",15418505,10425072,2017,0
"1933","2069",18514977,12245400,2017,0
"1934","2070",13934455,10040871,2017,0
"1935","2071",16425483,11757365,2017,0
"1936","2072",15174349,11035919,2017,0
"1937","2073",0,0,2017,0
"1938","2074",18196511,11955535,2017,0
"1939","2075",16346926,11097381,2017,0
"1940","2076",13178399,9335220,2017,0
"1941","2077",12324842,9261279,2017,0
"1942","2078",15290824,9927597,2017,0
"1943","2079",14556743,9178603,2017,0
"1944","2080",14072025,9094397,2017,0
"1945","2081",12233922,8292839,2017,1
"1946","2082",13095797,9560820,2017,1
"1947","2083",10594747,9465475,2017,1
"1948","2084",12276221,9095675,2017,1
"1949","2085",16344292,9957879,2017,0
"1950","2086",14166543,9282060,2017,0
"1951","2087",12069242,7789801,2017,0
"1952","2088",14407030,9578362,2017,0
"1953","2089",14063533,8319977,2017,0
"1954","2090",18511963,11176224,2017,0
"1955","2091",13029726,8764242,2017,0
"1956","2092",14630589,9146802,2017,0
"1957","2093",12758780,8965486,2017,0
"1958","2094",5540415,15537205,2017,0
"1959","2098",0,0,2017,0
"1960","2099",15158725,11884556,2017,0
"1961","2100",14733581,8515336,2017,0
"1962","2101",15055850,9516458,2017,0
"1963","2102",11553600,7383332,2017,0
"1964","2103",15046137,10211608,2017,0
"1965","2104",13958017,10162082,2017,0
"1966","2105",19508681,11739981,2017,0
"1967","2106",15110034,10018160,2017,0
"1968","2107",0,0,2017,0
"1969","2111",15145076,9626846,2017,0
"1970","2112",14370368,9781368,2017,0
"1971","2113",16466063,11398701,2017,0
"1972","2114",15556297,11249815,2017,0
"1973","2115",16185256,6923508,2017,0
"1974","2116",13599572,10172034,2017,0
"1975","2117",17668731,11355669,2017,0
"1976","2118",15716033,10478178,2017,0
"1977","2119",14665955,9691915,2017,0
"1978","2120",0,0,2017,0
"1979","2120A",7075726,4388663,2017,0
"1980","2120B",9765056,6879749,2017,0
"1981","2121A",22287360,14137284,2017,0
"1982","2122A",12551332,8613316,2017,0
"1983","2123A",9958215,7014529,2017,0
"1984","2123B",12722940,8298559,2017,0
"1985","2124A",16228280,9539519,2017,0
"1986","2125",17710763,12414278,2017,0
"1987","2126",17415717,10311886,2017,0
